"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@mekmbanyol Jingan ...
Bangke, emang salah curhat ama jomblo 🤣🤣",FALSE,0,"mekmbanyol","2020-04-15 08:32:22",FALSE,"1250248726901223424","1250341181713575936","1039716399948607488","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bdsrvcgrl",0,FALSE,FALSE,NA,NA
"@haechanbae @fajar17 DIA DAGANG SAMBIL CURHAT 😭",FALSE,0,"haechanbae","2020-04-15 08:32:21",FALSE,"1250340538605170688","1250341175837339648","1219632403058233344","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TuanRenjun",0,FALSE,FALSE,NA,NA
"@subtanyarl mama janji bakal jamin kebahagiaan kamu kelak, bakal beri kasih sayang yg utuh dr mama sm papa. gabakal… https://t.co/XumOKYIHzb",FALSE,0,"subtanyarl","2020-04-15 08:31:55",TRUE,"1250320820527751168","1250341066005344256","1601089260","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","potatokriuk",0,FALSE,FALSE,NA,NA
"@hyefji malah jadi curhat gini wkwk",FALSE,0,"hyefji","2020-04-15 08:31:29",FALSE,"1250338472071540736","1250340957175681024","1138340403709538304","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jyaemint",0,FALSE,FALSE,NA,NA
"@MUSIC_FESS Mon maap numpang curhat :(",FALSE,0,"MUSIC_FESS","2020-04-15 08:31:17",FALSE,"1250340610101272576","1250340909960450048","238045582","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucifcrr",0,FALSE,FALSE,NA,NA
"@salmafauzia01 Curhat",FALSE,0,"salmafauzia01","2020-04-15 08:30:55",FALSE,"1250254823615684608","1250340817174007808","771416850","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ituaqw_",0,FALSE,FALSE,NA,NA
"@smkfess Curhat disana:)",FALSE,0,"smkfess","2020-04-15 08:30:54",FALSE,"1250340328218869760","1250340810853240832","1206348907321544704","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akufloww",0,FALSE,FALSE,NA,NA
"RT @Alvvn_: Kamu yang berzodiak :

- Gemini
- Cancer
- Virgo
- Libra
- Scorpio
- Sagitarius
- Taurus
- Capricorn

anaknya kadang fastrespon…",FALSE,0,NA,"2020-04-15 08:30:18",FALSE,NA,"1250340659916988416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YLMinsg",8434,TRUE,FALSE,NA,NA
"RT @ifrgthername: ternyata curhat sama tuhan enak juga ya",FALSE,0,NA,"2020-04-15 08:28:53",FALSE,NA,"1250340305263415296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dyn0saurusabil",1,TRUE,FALSE,NA,NA
"@bambieomma curhat sm dd sini",FALSE,0,"bambieomma","2020-04-15 08:28:45",FALSE,"1250339314757537792","1250340269066616832","1178692808808361984","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","makecver",0,FALSE,FALSE,NA,NA
